,,,,,,,,,
KAMAK ASSOCIATES,,,,,,,,,
LIST OF Items   PERIOD FROM 01-04-2024 TO 14-10-2024,,,,,,,,,
,,,,,,,,,
S.No,Item Code,Item Name,Group,Brand,Model,MRP,Net Sal Qty,Close Qty,Close Val
85,32813000,GROHE 32813000 BAU FLOW OHM COLD WATER BASIN,G2,GROHE,BAU FLOW,2584,1,4,7094.92
86,32861001,GROHE 32861001(NEW) BAU EDGE PILLAR TAP,G2,GROHE,BAU EDGE,3550,2,3,5453.37
87,35600000,GROHE 35600000 RAPIDO SMART BOX,G2,GROHE,RAPID,14920,,1,6317.5
88,38505000,GROHE 38505000 STAKE AIR FLUSH PLATE (OVAL),G2,GROHE,STAKE AIR,3550,2,1,1779.66
89,38732000,GROHE 38732000 COSMO FLUSH PLATE (SQUARE),G2,GROHE,COSMO,4100,23,8,14237.28
90,3916500I,GROHE 3916500I UNISET CONCEALED TANK HALF FRAME,G2,GROHE,UNISET,9530,26,1,5249.57
91,39440000,Grohe 39440000 Bau Ceramic Wash Basin 55cm,G2,GROHE,Bau Ceramic,4447,1,3,9129.00
92,3956500H,GROHE 3956500H ESSENCE BASIN WALL HUNG 60CM,G3,GROHE,ESSENCE,17490,,1,7139.03
93,39706000,GROHE 39706000 BAUCERAMIC WALVITPAN,G2,GROHE,BAU,13990,1,4,23711.88
94,29064000,GROHE BAUCURVE 29064000 CONCEALED DIVERTOR,G2,GROHE,BAU CURVE,9350,4,4,18999.28
95,WT11,HEALTH FAUCET 15Mtr,CP,WATER-TEC,PREMIUM,664,29,2,758.4
96,SG19,HEX NIPPLE,CP,SANGAM,Primary,100,107,28,1137.92
97,10385IN-AF(POP),KOHLER 10385IN-AF(POP) COMPLEMENTARY BATH SPOUT W/O DIVERTER,CP,KOHLER,COMPLEMENTARY,3590,,2,2074.04
98,10385IN-BV,KOHLER 10385IN-BV COMPLEMENTRY SPOUT BRONZE,CP,KOHLER,COMPLEMENTARY,4200,,1,
99,10614IN-0,KOHLER 10614IN-0 PATIO SEAT COVER,SANITARY,KOHLER,Primary,3000,5,2,
100,10712IN-AF(PRE),KOHLER 10712IN-AF(PRE) LIQUID SOAP DISPENSER,CP,KOHLER,Primary,5170,,1,2708.27
101,11479IN-VC1-0,KOHLER 11479IN-VC1-0 FOREFRONT REC SEMI RECESSED BASIN,SANITARY,KOHLER,FORE,20500,,1,
102,12067IN-CP,KOHLER 12067IN-CP(POP) SHOWER HOSE 1.5M,CP,KOHLER,Primary,1820,,5,3859.6
103,13900IN-4-CP,KOHLER 13900IN-4-CP WASHING MACHINE TAP,CP,KOHLER,Primary,1590,,5,
104,16093IN-4-CP,KOHLER 16093IN-4-CP JULY BIB COCK,CP,KOHLER,JULY,3500,,10,
105,16346IN-BV,KOHLER 16346IN-BV MASTERSHOWER ARM BRONZE,CP,KOHLER,Primary,5820,,3,
106,16351IN-CP,KOHLER 16351IN-CP FINIAL SF SHOWER HEAD W ARM,CP,KOHLER,Primary,6000,,2,
107,16356IN-A-AF(POP),KOHLER 16356IN-A-AF(POP) SHOWER HEAD W ARM FRENCH GOLD,CP,KOHLER,Primary,3130,,2,
108,16356IN-A-CP(POP),KOHLER 16356IN-A-CP(POP) SHOWERHEAD W ARM & ESCUTCHEON,CP,KOHLER,Primary,2400,,1,1583.93
109,16359IN-A-CP(POP),KOHLER 16359IN-A-CP(POP) COMPLEMENTARY HAND SHOWER W HOSE,CP,KOHLER,COMPLEMENTARY,2530,,5,8049.75
110,17530T-ST(POP),KOHLER 17530T-ST EOLIA TOILET BRUSH HOLDER,CP,KOHLER,Primary,2320,1,1,
111,17660T-M-0(PRE),Kohler 17660T-M-0(PRE) Ove Elongated Soft Close Seat Cover,SANITARY,KOHLER,OVE,5565,,2,3147.78
112,18361IN-CL-BV,KOHLER 18361IN-CL-BV KATALYST SQ SHOWER HEAD,CP,KOHLER,Primary,35800,,1,
113,20138IN-CP,KOHLER 20138IN-CP SQUARE SHOWER ARM W/M,CP,KOHLER,Primary,6000,,2,
114,20189IN-P-CP(PRE),KOHLER 20189IN-P-CP(PRE) GRAPH INWALL TANK PUSH PLATE,CP,KOHLER,Primary,3400,,1,2019.33
115,2018IN-1WH-0,KOHLER 2018IN-1WH-0 FOLIO WALL HUNG BASIN 610MM,SANITARY,KOHLER,Primary,4800,1,2,
116,20218IN-0,KOHLER 20218IN-0 TRACE WALL HUNG CLOSET,SANITARY,KOHLER,TRACE,17500,,4,
117,20219IN-UF-0,KOHLER 20219IN-UF-0 TRACE QUIET CLOSE SLIM SEAT COVER,SANITARY,KOHLER,TRACE,5500,,4,
118,20585IN-4-CP(POP),KOHLER 20585IN-4-CP(POP) JULY DM COLD ONLY KITCHEN FAUCET,CP,KOHLER,JULY COMFORT,5300,,1,3372.61
119,20590IN-4-CP(PRE),KOHLER 20590IN-4-CP(PRE) ALEO+ WM COLD ONLY KITCHEN FAUCET,CP,KOHLER,ALEO,7250,,1,3836.72
120,20704-0(LUX),KOHLER 20704-0(LUX) VEIL SMALL BOWL,SANITARY,KOHLER,VEIL,25370,,1,10359.69
121,20740IN-A-NA,KOHLER 20740IN-A-NA AUTOSENSE PLUS 235 THEMOSTAT VALVE,CP,KOHLER,Primary,12500,,6,48104.88
122,20742IN-9FP-AF,KOHLER 20742IN-9FP-AF AUTOSENSE 235+ UPPER TRIM FRENCH GOLD,CP,KOHLER,Primary,13800,,2,
123,20742IN-9FP-BL,KOHLER 20742IN-9FP-BL AUTOSENSE THERMO UPPER TRIM BLACK,CP,KOHLER,Primary,15400,,2,
124,20746IN-CP,KOHLER 20746IN-CP COMPLEMENTARY GRID DRAIN,CP,KOHLER,COMPLEMENTARY,700,,2,
125,21226IN-HP1(LUX),KOHLER 21226IN-HP1(LUX) MODERN LIFE EDGE HONED PEACOCK BOWL,SANITARY,KOHLER,Modern Life Edge,42000,,1,22423.86
126,22446IN-BL,KOHLER 22446IN-BL WALL SHOWER ARM BLACK,CP,KOHLER,Primary,8400,,3,
127,22534IN-4ND-AF,KOHLER 22534IN-4ND-AF HONE BASIN MIXER,CP,KOHLER,HONE,11560,,1,
128,22539IN-4-AF,KOHLER 22539IN-4-AF HONE TALL PILLAR COCK FRENCH GOLD,CP,KOHLER,Primary,6610,,4,
129,22541IN-4FP-CP,Kohler 22541in-4fp-cp Hone Upper Trim,CP,KOHLER,HONE,5250,,1,
130,22645IN-CP,KOHLER 22645IN-CP PARALLEL SQ SHOWER W ARM,CP,KOHLER,Primary,4000,1,1,
131,22860IN-2-0,Kohler 22860in-2-0 Purewash Bidet Attachment,SANITARY,KOHLER,PUREWASH,4000,,2,
132,22928IN-NA(LUX),KOHLER 22928IN-NA(LUX) VITALITY 30*40 RECT LIGHT MIRROR,SANITARY,KOHLER,VITALITY,30150,,1,8272.47
133,23147IN-4-CP(PRE),KOHLER 23147IN-4-CP(PRE) TOOBI EXPOSED PUSH BUTTON BATH & SH,CP,KOHLER,TOOBI,11440,1,1,6794.48
134,23496IN-4-CP(PRE),KOHLER 23496IN-4-CP(PRE) PARALLEL TRIM ASSY,CP,KOHLER,PARALLEL,9170,,1,5446.26
135,23512IN-BV,KOHLER 23512IN-BV PARALLEL BATH SPOUT BRONZE,CP,KOHLER,PARALLEL,9110,,2,
136,23512IN-CP,KOHLER 23512IN-CP PARALLEL BATH SPOUT,CP,KOHLER,Primary,6510,,2,
137,23657IN-CP(POP),KOHLER 23657IN-CP(POP) RAIN DUET SINGLE FLOW SHOWER W ARM,CP,KOHLER,RAIN DUET,2690,,1,1711.77
138,23966IN-4ND-RGD,KOHLER 23966IN-4ND-RGD VIVE BASIN MIXER ROSE GOLD,CP,KOHLER,VIVE,13300,,1,
139,23971IN-4FP-CP(PRE),KOHLER 23971IN-4FP-CP(PRE) VIVE AT 235 RBS TRIM,CP,KOHLER,VIVE,5400,,2,6224.3
140,23973IN-AA-CP(PRE),KOHLER 23973IN-AA-CP(PRE) VIVE BATH SPOUT W/O DIVERTER,CP,KOHLER,VIVE,4460,,2,5143.28
141,23973IN-AA-RGD(PRE),KOHLER 23973IN-AA-RGD(PRE) VIVE BATH SPOUT W/O DIV ROSE GOLD,CP,KOHLER,VIVE,6700,,1,1606.16
142,23973IN-AA-RGD,KOHLER 23973IN-AA-RGD VIVE BATH SPOUT ROSE GOLD,CP,KOHLER,Primary,6720,,1,
143,23975IN-4ND-CP(PRE),KOHLER 23975IN-4ND-CP(PRE) VIVE SC MONOBLAC WM LAV FAUCET W,CP,KOHLER,VIVE,11000,,1,3126.8
144,24149IN-F-BN,KOHLER 24149IN-F-BN SKIM PUSH PLATE BLACK,CP,KOHLER,SKIM,10000,,1,
145,24431IN-9FP-CP(PRE),KOHLER 24431IN-9FP-CP(PRE) AUTOSENSE UNIVERSAL TRIM,CP,KOHLER,Primary,10000,,1,5939.23
146,24555IN-P-AF(PRE),KOHLER 24555IN-P-AF(PRE)  SOFT PRESS PNEUMATIC PUSH PLATE,CP,KOHLER,Primary,7400,,1,2046.05
147,25065IN-CP(POP),KOHLER 25065IN-CP(POP) COMPLEMENTARY SQUARE 610MM SINGLE TOW,CP,KOHLER,COMPLEMENTARY,3400,,2,1934.48
148,25066IN-CP(POP),KOHLER 25066IN-CP(POP) COMPLEMENTARY SQUARE TOWEL SHELF,CP,KOHLER,COMPLEMENTARY,9000,,2,11454.68
149,25071IN-CP(POP),KOHLER 25071IN-CP(POP) COMPLEMENTARY SQ TOILET PAPER HOLDER,CP,KOHLER,COMPLEMENTARY,2350,1,1,1495.4
150,25074IN-CP(POP),KOHLER 25074IN-CP(POP) COMPLEMENTARY SQ TUMBLER HOLDER,CP,KOHLER,COMPLEMENTARY,2800,,1,1615.81
151,25323IN-4-RGD(PRE),KOHLER 25323IN-4-RGD(PRE) VIVE 40MM RBS TRIM AT 235 VALVE,CP,KOHLER,VIVE,15820,,2,7922.9
152,25349IN-AF(PRE),Kohler 25349IN-AF(PRE) Accent Single Robe Hook,CP,KOHLER,ACCENT,1210,,1,314.78
153,25349IN-BN(PRE),KOHLER 25349IN-BN(PRE) ACCENT SINGLE ROBE HOOK,CP,KOHLER,ACCENT,1210,,1,314.78
154,25349IN-BV(PRE),KOHLER 25349IN-BV(PRE) ACCENT SINGLE ROBE HOOK,CP,KOHLER,ACCENT,1350,,1,353.47
155,25349IN-RGD(PRE),KOHLER 25349IN-RGD(PRE) ACCENT SINGLE ROBE HOOK,CP,KOHLER,ACCENT,1440,,1,353.39
156,25431IN-4-CP,KOHLER 25431IN-4-CP BEAM ANGLE VALVE,CP,KOHLER,Primary,1500,,10,
157,25761IN-9-CP,KOHLER 25761IN-9-CP MODERNLIFE EDGE SQ UPPER TRIM,CP,KOHLER,Primary,16300,,2,
158,25765IN-CP,KOHLER 25765IN-CP MODERNLIFEEDGE BATH SPOUT,CP,KOHLER,Modern Life Edge,9000,,2,
159,26051-BGL,Kohler 26051-bgl Essential Capsule Mirror,SANITARY,KOHLER,Essential,11950,,1,
160,26249IN-0(PRE),KOHLER 26249IN-0(PRE) RIBANA NEO W/O DECK,SANITARY,KOHLER,RIBANA,18000,,2,18995.00
161,26290IN-CP,KOHLER 26290IN-CP STATEMENT MF SHOWER HEAD,CP,KOHLER,Primary,7000,,3,6236.22
162,26290IN-RGD,KOHLER 26290IN-RGD STATEMENT MF SHOWER HEAD,CP,KOHLER,Primary,9800,,2,
